occurrenceID,basisOfRecord,ownerInstitutionCode,collectionCode,catalogNumber,sharetype,bibliographicCitation,references,scientificName,scientificNameAuthorship,genus,specificEpithet,verbatimEventDate,eventDate,year,month,day,eventRemarks,recordedBy,recordNumber,habitat,elevationInMeters,identifiedBy,dateIdentified,identificationRemarks,previousIdentifications,typeStatus,country,stateProvince,county,municipality,locality,locationRemarks,verbatimCoordinates,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,georeferencedBy,georeferencedDate,georeferenceRemarks,associatedSequences,occurrenceRemarks,individualCount,lifeStage,eventID,sensitiveLocation,samplingProtocol,numberObservers,additionalObservers,startTime,endTime,areaSearchedInHa,targetTaxonGenus,targetTaxonSpecificEpithet,firefliesPresent,sunsetTime,habitatRemarks,specimenVoucherNumbers,firstFlashTime,lastFlashTime,firstFlashTempF,lastFlashTempF,flashesInPattern,flashColor,flashPatternPeriod,flashDuration,flashInterval,maleHeightZones,flashLocation,maleFlashBehavior,femaleFlashBehavior,observationStatus
,,,,38379,,,,,,Photinus,knulli,,7/19/2023,2023,7,19,Quick stop by this potential firefly site after surveying nearby Rock Corral Canyon.,Candace Fallon,,riparian,995,,,,,,,Arizona,,,,,,31.56220649,-111.0459124,,0-25,,,,,Approximately 11-12 flashing individuals observed,11_50,,38377,0,incidental,2,Tony Palmer,22:13,22:28,,Photinus,knulli,yes,19:29,,a:0:{},22:13,22:28,85,85,3,,1,&lt;1,6,"a:3:{i:0;s:0:"""";i:1;s:8:""moderate"";i:2;s:4:""high"";}","Individuals were cruising above the creek, in and out of the trees, occasionally perching in the canopy.",,,unreviewed
,,,,40295,,,,,,Bicellonycha,wickershamorum wickershamorum,,6/17/2024,2024,6,17,,Rachel Laura,,riparian,4045,Candace Fallon,9/23/2024,,,,,Arizona,,,,,,31.53084,-110.76669,,0-25,,,,,"One male captured. 10.5 mm in length. Flashing from atop watercress within Sonoita Creek. Another observed in the same area as the first and flew from just adjacent to the creek over the creek. Further west, we located another flashing from low vegetation, possibly within the creek. It stopped flashing shortly after we arrived at 9:33",2_10,,40294,1,survey,3,"Chinle Reinshagen, Brittany Garza",19:25,21:40,7,Bicellonycha,wickershamorum wickershamorum,yes,19:30,"Ash, willow, cottonwood overstory, within the creek there is tall watercress on which the fireflies were resting and flashing",a:0:{},21:10,21:33,83.8,81,1,,&lt;1,&lt;1,1,"a:3:{i:0;s:0:"""";i:1;s:3:""low"";i:2;s:8:""moderate"";}","Flashing mostly from vegetation, occasionally flying 3-8 feet and flashing.",,Did not observe,verified
,,,,40335,,,,,,Bicellonycha,wickershamorum wickershamorum,,6/18/2024,2024,6,18,Walked the trails at the Patagonia Sonoita Creek Preserve. Located fireflies at three locations along Sonoita Creek. ,Kathy West,,riparian,4009,,,,,,,Arizona,,,,,,31.531,-110.76647,,0-25,,,,,"10 seen total at three separate locations along Sonoita Creek. All were flashing green. Saw one male fly down to a female (both were flashing) that was resting on vegetation. Flying about 3 feet above the ground prior to flying down to female. One was seen flying 4 m above the ground, which was much higher than the others. Some were in trees and some were on watercress in the creek. ",2_10,,40334,1,survey,3,"Chinle Reinshagen, Richard Quade",19:31,21:30,8,Bicellonycha,wickershamorum wickershamorum,yes,19:31,"Cottonwood, willow, ash, walnut, hackberry, elderberry",a:0:{},20:15,21:04,78,78,1,,&lt;1,&lt;1,1,"a:4:{i:0;s:0:"""";i:1;s:3:""low"";i:2;s:8:""moderate"";i:3;s:4:""high"";}","Some flying and flashing, some flashing from vegetation.",,Flashing from vegetation. ,unreviewed
,,,,40386,,,,,,Bicellonycha,wickershamorum wickershamorum,,6/19/2024,2024,6,19,"Two locations with fireflies, the first is the location shown on the map and had at least 10 fireflies. The second location we only saw one. ",Rachel Laura,,riparian,4950,Richard Joyce,6/25/2024,,,,,Arizona,,,Canelo Hills Cienega Reserve,,,31.56203,-110.52742,,0-25,,,,,"Approximately 10 fireflies were flashing along the edge of the creek in some grass/wetland vegetation. They were all flying low, within a couple feet of the ground. They were all seen within a small area, approximately 20 -30 feet of creek bank. The other firefly was on wetland vegetation outside the riparian area and was flashing from the vegetation (not flying). No fireflies were seen in the cienega, or further downstream. ",11_50,,40383,1,survey,2,Brittany Garza,19:30,21:03,3,Bicellonycha,wickershamorum wickershamorum,yes,19:30,"This area has riparian and cienega habitat. Fireflies were mostly seen right along the creek, but one was seen in an adjacent marshy area. ",a:0:{},20:23,20:26,71.5,71.5,1,,1,&lt;1,1,"a:2:{i:0;s:0:"""";i:1;s:3:""low"";}",Flashing right along the edge of the creek. One was flashing from low wetland vegetation just outside the riparian trees. ,,,verified
,,,,40478,,,,,,Bicellonycha,wickershamorum,,6/21/2024,2024,6,21,"Approximately 35 individuals, including 2 SE of the road crossing ",Lucas Hetherington,,riparian,1400,Richard Joyce,6/25/2024,,,,,Arizona,,,Empire Ranch,,,31.78704,-110.63539,,0-25,,,,,All directly along stream corridor ,11_50,,40477,1,incidental,2,Joseph Palmer,19:45,21:15,,Bicellonycha,wickershamorum,yes,19:31,,a:0:{},19:45,21:13,80,77,1,,1,1,1,"a:3:{i:0;s:0:"""";i:1;s:3:""low"";i:2;s:8:""moderate"";}",Along stream corridor ,,,verified
,,,,40915,,,,,,Bicellonycha,wickershamorum wickershamorum,,6/25/2024,2024,6,25,Fireflies seen throughout the wetted stream length. Originally flying low early in the evening and flying &gt;20 ft by 9pm. Forgot to measure temperature at start time so used end temperature for both start and end.,Rachel Laura,,riparian,4075,,,,,,,Arizona,,,Muleshoe Ranch,,,32.33867,-110.23979,,0-25,,,,,"12 mm in length for the male that was measured. Flying low early on, then flying well over 20 feet by 9pm. ",11_50,,40914,1,survey,2,Brittany Garza,19:35,21:06,4,Bicellonycha,wickershamorum wickershamorum,yes,19:30,Spring-fed stream with hot springs. Stays perennial for about 0.5 miles downstream of spring.,a:0:{},19:53,21:06,87.4,87.4,1,,1,&lt;1,1,"a:4:{i:0;s:0:"""";i:1;s:3:""low"";i:2;s:8:""moderate"";i:3;s:4:""high"";}",Still flashing when survey was ended at 9:06 pm. Temp only taken at the end of the survey.,,,unreviewed
,,,,40932,,,,,,Bicellonycha,wickershamorum wickershamorum,,6/30/2024,2024,6,30,49 fireflies counted. Some flying 20 feet or so above the ground. Most activity seen between 8 and 9pm. ,Rachel Laura,,riparian,4900,,,,,,,Arizona,,,Canelo Hills Cienega Reserve,,,31.56203,-110.52742,,0-25,,,,,49 fireflies counted. Some flying 20 feet or so above the ground. Most activity seen between 8 and 9pm. ,11_50,,40931,1,survey,4,"Rowan Lynn, Yasmine Schafer, Terena Williams",19:27,21:30,12,Bicellonycha,wickershamorum wickershamorum,yes,19:31,Habitat included both cienega and riparian habitat along a stream.,a:0:{},20:16,21:30,71.5,69.1,1,,1,&lt;1,1,"a:4:{i:0;s:0:"""";i:1;s:3:""low"";i:2;s:8:""moderate"";i:3;s:4:""high"";}","Flashing from ground level to the tree tops. Seen in the riparian and fairly far (~50m) into the adjacent grassland/oak vegetation. Most fireflies seen flashing along the edge of the willows on the east side of the stream. No fireflies were seen in the cienega at the south end of the property, only along the stringer of riparian further north. ",,,unreviewed
,,,,41975,,,,,,Photinus,knulli,,7/11/2024,2024,7,11,,Lucas Hetherington,,riparian,965,Candace Fallon,7/30/2024,"Narrow body, thick black stripe down center of pronotum with margins tinged in black, black scutellum. Triple flash.",,,,Arizona,,,Rincon Creek,,,32.12837,-110.619697,,0-25,,,,,At least 40 individuals documented. Highest concentrations surrounding piles of downed vegetation. Multiple males flashing on the ground as well as flying,11_50,,41972,1,incidental,3,"Joseph Palmer, Alyssa Schwinck",22:00,23:00,1,Photinus,knulli,yes,19:30,Along Rincon Creek; standing water extending approximately 100m in either direction from site; densely vegetated ~30m buffer around riparian corridor ,a:0:{},22:00,23:00,80,77,3,,1,1,>6,"a:3:{i:0;s:0:"""";i:1;s:3:""low"";i:2;s:8:""moderate"";}",All within 30m of Rincon Creek.,,,verified
,,,,42260,,,,,,Bicellonycha,wickershamorum,,7/16/2024,2024,7,16,"Fireflies spotted. Appeared to flash green, asynchronous of each other.",Diana Chesston,,riparian,1336,,,,,,,Arizona,,,Empire Gulch,,,"31°47'15.3""N","110°38'10.1""W",,0-25,,,,,"body length approx 1.5cm - 2cm
stayed mostly near tall reeds along standing water
often settled on reeds that felt serrated/rough
fireflies did not seem to stay together as a group
flew between 1ft - 6ft off ground",11_50,,42259,0,incidental,4,,19:35,20:25,,Bicellonycha,wickershamorum,yes,19:30,along gulch with cottonwood trees,a:0:{},19:40,20:30,90,85,4,,5,1,unsure,"a:2:{i:0;s:0:"""";i:1;s:8:""moderate"";}",near reeds in standing water from recent rainfall,,,unreviewed
,,,,42831,,,,,,Photinus,knulli,,7/26/2024,2024,7,26,Counted 5 fireflies flying above grassy field. Did not see any on the ground,Kathy West,,grassland_meadow,1210 m,,,,,,,Arizona,,,Patagonia-Sonoita Creek site 2 by Visitor Center,,,31.52813,-110.7753,,0-25,,,,,most flying about 2-3 meters above grass.,2_10,,42830,1,incidental,2,Jac Heiss,20:30,20:40,"4 hectare field, only counted fireflies with in 6 meters",Photinus,knulli,yes,19:20,"Dominant species Johnson Grass, mullein; recently mowed",a:0:{},20:30,20:40,81.5,81.5,2,,1,1,2,"a:2:{i:0;s:0:"""";i:1;s:8:""moderate"";}",Above grass field ,Noted mostly 2 sometimes 3 flashes in most of the fireflies seen. Flew a little higher each flash,none observed,unreviewed
,,,,42936,,,,,,Photinus,knulli,,8/2/2024,2024,8,2,Arrived to site at approx 6:30 to scout. Searched veg along creek at dusk but no firefly larvae or adults observed. Stopped by main pools on the way back down the drainage (10:59-11:10pm) but did not see any firefly activity.,Candace Fallon,,riparian,1086.6,Richard Joyce,9/19/2024,,,,,Arizona,,,Upper Madrona Pools,,,32.15668,-110.60713,,0-25,,,,,Single adult male observed. Pronotum edged in black with thick black center stripe. Yellow elytral margins. Relatively slender body with length slightly over 8 mm.,1,,42924,1,survey,3,"Saff Killingsworth, Lucas Hetherington",19:30,22:23,0.04,Photinus,knulli,yes,19:20,"Series of granite/basalt bedrock pools with perennial water. Large boulders. Primary riparian vegetation included Gooding's willow, oak (AZ white oak?), ash, sycamore, Eragrostis bunchgrasses, Indigofera, cattails. Upland vegetation on the hillsides composed of saguaros, ocotillos, feathertree.",a:0:{},20:18,22:23,86.5,84.7,3,,Variable,&lt;1,Variable,"a:2:{i:0;s:0:"""";i:1;s:3:""low"";}","flashing from edge of creek, very close to water surface. Flasher was very tied to that small area - did not venture far over the creek or to surrounding vegetation. When caught for ID, was perched on a Polygonum species (Persicaria?) growing in the water, near some cattails. ","Mostly sedentary (non-flying) with no discernible flash pattern (sometimes single, sometimes 2-3 flashes). Very infrequent overall flashing over the course of the evening, with up to ten minutes or longer between flash activity.",Not observed.,verified
,,,,42958,,,,,,Photinus,knulli,,8/3/2024,2024,8,3,"A large monsoon system stalled over the site for approximately 30 minutes during our survey (after dark), dumping rain and illuminating the site with frequent intense lightning. ",Candace Fallon,,riparian,1002.8,Richard Joyce,9/19/2024,,,,,Arizona,,,Rincon Creek - Grotto,,,32.137513,-110.583941,,0-25,,,,,"Approximately 4-5 individuals observed. One male and one female captured for verification, and then released. Male was 8mm in length with darkened pronotal margins, thick black center pronotal line, slender body (see photos). Near the end of the survey, at 10:20pm, there was a single mystery flasher that we were unable to capture. It gave off a single prolonged flash and the color appeared almost white-blue. It was flying high, streaking with its prolonged flash, before disappearing into the vegetation on the hillside.",2_10,,42955,1,survey,3,"Saff Killingsworth, Lucas Hetherington",19:12,22:36,0.08,Photinus,knulli,yes,19:19,"Sandy bottomed grotto/amphitheater along Rincon Creek with ryholite walls and dominant riparian vegetation of Baccharis, buttonbush, ash, sycamore, walnut, Eragrostis bunchgrasses. Scattered Persicaria and primrose. ",a:0:{},20:19,22:36,79.5,74,3,,6-May,0.5,&lt;1,"a:3:{i:0;s:0:"""";i:1;s:8:""moderate"";i:2;s:4:""high"";}",Flashing occurred primarily in the treetops (often over 8 ft high) and open spaces between the trees across the open grotto (near the downstream end of the creek). ,"Most male flash patterns were composed of just two flashes, although some emitted the typical three. The third flash was slightly less robust than the first two. After spotting the lone female, one of the males shortened his flash pattern as he homed in on her location, clustering flashes closer together, and also making them less bright.",One female was observed (the first flash of the evening - she began flashing approximately one hour before the males began flashing). Single yellow-green flash while perched on a tree branch approximately 7 ft high off the ground.,verified
,,,,42971,,,,,,Photinus,knulli,,8/4/2024,2024,8,4,"Area has received decent monsoon rain in recent days. A couple days prior to surveys, the creek level was flowing steadily, with no sand exposed.",Candace Fallon,,riparian,987.9,Richard Joyce,9/19/2024,,,,,Arizona,,,X9 Ranch - Chimenea Creek,,,32.14093,-110.605723,,0-25,,,,,"At least a dozen fireflies observed over the course of the survey period. Two adult males were caught for species ID verification and measured 7.5 and 8 mm in length, each with yellow elytral margins, thick black center stripes on the pronotum, and black pronotal margins.",11_50,,42968,1,survey,7,"Saff Killingsworth, Lucas Hetherington, Tony Palmer, Roni Doyon, Devon Stackonis, Melina Tye",19:19,22:18,0.3,Photinus,knulli,yes,19:18,"Flat, open canopy sandy wash with standing water and scattered cobble/boulders. Dominant plants are grasses, catclaw acacia, oat grass, and Eragrostis bunchgrasses. There's a cluster of trees within the survey area providing shade that's composed of a sycamore and canyon hackberry.","a:2:{i:0;s:15:""XS-COL-2024-004"";i:1;s:15:""XS-COL-2024-005"";}",20:53,22:18,79,74,3,,7,&lt;0.5,6,"a:3:{i:0;s:0:"""";i:1;s:8:""moderate"";i:2;s:4:""high"";}","Adult males seen cruising up and down the moist side channel along the creek bed, which is bordered by lush grass. They were flying high, typically 6 feet up to the upper branches of the sycamore and hackberry. Flashes were also observed in the more heavily forested hillside up towards the driveway to the house. Individuals seemed concentrated in the darker undercanopy by the trees.","Both double and triple flash patterns were observed. Males would fly parallel to the ground, rise, then slowly swoop down with slightly less vivid flashing. Several individuals were seen looping around the survey area, flying from the moist side channel up towards the trees, circling around these trees, swinging back out to the main creek channel, and then closing in to the side channel.",Single flashes observed from low vegetation in the forested hillside by the driveway.,verified
,,,,43017,,,,,,Bicellonycha,wickershamorum,,8/11/2024,2024,8,11,"Saw one Bicellonycha wickershamorum earlier in the evening, when Photinus knulli were just emerging. It flew up into a tree flashing only a few times in flight, and then rested in the tree, only occasionally flashing. The Microphotus was found on my shirt shortly after capturing a Photinus knulli and after bushwacking along the eastern edge of the riparian stringer, just south of the road. The flashing began at 7:50 from the ground/low vegetation within the riparian area. The BW was seen shortly after this and then not seen again later in the evening. A female firefly that had been captured by a spider was collected by the preserve manager and will be deposited in the UA insect collection. Cloud cover increased over the survey period from 0-20% up to 41-60%. GoPro footage was recorded within the riparian area starting at 9:45 PM and will be send to Owen to determine if enough flashes were recorded for the model to verify the species as PK.",Rachel Laura,,riparian,4090,Richard Joyce,9/19/2024,Known locality and experienced observers.,,,,Arizona,,,Muleshoe Ranch,,,32.33697,-110.23831,,0-25,,,,,BW was only seen for a short time and flew up into a tree while flashing. I was unable to capture it.,1,,43016,1,survey,3,"Crystal Dillahunty, Alisa Slaughter",19:14,21:45,0.2,Bicellonycha,wickershamorum,yes,19:07,"Cottonwood, walnut, willow, ash, hackberry overstory. ",a:0:{},19:50,20:50,83,82,1,,2,1,1,"a:3:{i:0;s:0:"""";i:1;s:8:""moderate"";i:2;s:4:""high"";}","Flew from low vegetation into a tree. Flashed a few times while flying up into the tree, then only occasionally thereafter. ","Flew from low vegetation into a tree. Flashed a few times while flying up into the tree, then only occasionally thereafter. ",,verified
,,,,43019,,,,,,Photinus,knulli,,8/11/2024,2024,8,11,"Saw one Bicellonycha wickershamorum earlier in the evening, when Photinus knulli were just emerging. It flew up into a tree flashing only a few times in flight, and then rested in the tree, only occasionally flashing. The Microphotus was found on my shirt shortly after capturing a Photinus knulli and after bushwacking along the eastern edge of the riparian stringer, just south of the road. The flashing began at 7:50 from the ground/low vegetation within the riparian area. The BW was seen shortly after this and then not seen again later in the evening. A female firefly that had been captured by a spider was collected by the preserve manager and will be deposited in the UA insect collection. Cloud cover increased over the survey period from 0-20% up to 41-60%. GoPro footage was recorded within the riparian area starting at 9:45 PM and will be send to Owen to determine if enough flashes were recorded for the model to verify the species as PK.",Rachel Laura,,riparian,4090,Richard Joyce,9/19/2024,,,,,Arizona,,,Muleshoe Ranch,,,32.33697,-110.23831,,0-25,,,,,~8.2mm for the one measured with calipers. Three flash sequence with a pause in between. Were flashing within the riparian as well as along the edge within the low-lying upland vegetation/cobble. ,2_10,,43016,1,survey,3,"Crystal Dillahunty, Alisa Slaughter",19:14,21:45,0.2,Bicellonycha,wickershamorum,yes,19:07,"Cottonwood, walnut, willow, ash, hackberry overstory. ",a:0:{},19:50,21:45,83,80.2,3,,3,&lt;1,&lt;1,"a:3:{i:0;s:0:"""";i:1;s:8:""moderate"";i:2;s:4:""high"";}",Flashes started earlier in the night within the riparian on low vegetation and gradually moved higher and out of the riparian into adjacent habitats. Flashing was still occurring when survey ended so last flash is actually the survey end time. ,Flashes started earlier in the night within the riparian on low vegetation and gradually moved higher and out of the riparian into adjacent habitats. ,Seen flashing from the ground or low vegetation.,verified
,,,,43134,,,,,,Bicellonycha,wickershamorum wickershamorum,,7/2/2024,2024,7,2,,Candace Fallon,,open_freshwater_wetland,1439.88,,,,,,,Arizona,,,AWRR - Finley Tank,,,31.60602,-110.49404,,0-25,,,,,Approximately 4 individuals observed.,2_10,,43130,1,survey,2,Saff Killingsworth,19:10,20:17,0.14,Bicellonycha,wickershamorum wickershamorum,yes,19:31,"Historic livestock waterer (established since at least the 1950s) centered on an old spring supported by a pump to supplement flow. Line of cottonwoods along southern exposure of the pond. Seep willow along bank, as well as tule (bulrush) and sedges. Pond is located in a small drainage.",a:0:{},19:46,20:13,83.1,82.2,1,,1.5-3.5,&lt;.5,3-Jan,"a:3:{i:0;s:0:"""";i:1;s:3:""low"";i:2;s:8:""moderate"";}","Initially flashing from tule (bulrush) and right above the sedges lining the pond, then eventually moving higher above the vegetation and circling the pond, picking up speed with both flashing and movement. Active approximately 3-5 feet above ground.","Green single flash every one to three seconds, very variable. Activity period was rather short (only one individual still displaying at the end of the survey) with very few individuals.",N/A,unreviewed
,,,,43159,,,,,,Bicellonycha,wickershamorum wickershamorum,,7/3/2024,2024,7,3,,Candace Fallon,,open_freshwater_wetland,1451.15,,,,,,,Arizona,,,AWRR - McDaniel Pond,,,31.57632,-110.49974,,0-25,,,,,First firefly observed at 7:16pm on tip of grass blade adjacent to pond (not yet flashing). Others observed clinging to vegetation. Several were seen mouthing the feathery tips of Eleocharis palustris. Over 100 fireflies were observed on this night--possibly even up to 150. ,50+,,43153,1,survey,1,NA,19:03,20:05,0.1,Bicellonycha,wickershamorum wickershamorum,yes,19:31,"Two small historic cattle ponds circled by bunchgrasses, sedges (Eleocharis palustris) and tule (bulrush). Open canopy with one seep willow. Ponds are groundwater/pump fed and have been there for at least the last 15 years. ","a:2:{i:0;s:15:""XS-COL-2024-002"";i:1;s:15:""XS-COL-2024-003"";}",19:30,20:05,80.5,76.8,1,,1.5-3.5,&lt;0.5,3-Jan,"a:2:{i:0;s:0:"""";i:1;s:3:""low"";}","Flashes in and just above vegetation (sedges, grasses, tree marigolds).","Flying very low, skimming the tops of the sedges, occasionally landing and slowly cruising between individual grass and sedge blades. Individual flashing males would move up and down the blades, pause, and then move to the next clump. By 7:52pm, they began moving higher to bulrushes. Activity was primarily adjacent to the ponds, although some were observed moving out 5-10 feet from the pond edges or drifting between the two ponds. First flash was seen at 7:30pm; by 7:41, approx. 24 individuals were seen flashing; by 7:52, more than 50 flashing, and by 8:02pm over 100 flashing. ",Single flashes low in vegetation.,unreviewed
,,,,43165,,,,,,Bicellonycha,wickershamorum wickershamorum,,7/3/2024,2024,7,3,"Arrived after surveying a different site, so caught only the tail end of the firefly activity period.",Candace Fallon,,open_freshwater_wetland,1464.87,,,,,,,Arizona,,,AWRR - Headquarters Pond,,,31.58998,-110.50621,,0-25,,,,,Approximately 4 individuals observed.,2_10,,43161,1,survey,1,NA,20:17,20:29,0.009,Bicellonycha,wickershamorum wickershamorum,yes,19:31,Small constructed pond (groundwater/pump-fed) surrounded by sedges in otherwise arid desert shrub environment.,"a:1:{i:0;s:15:""XS-COL-2024-001"";}",20:17,20:27,78.7,78.6,1,,2,&lt;0.5,1.5,"a:2:{i:0;s:0:"""";i:1;s:3:""low"";}","Flashing along pond edges, above vegetation.",Rising up and down over the vegetation of the pond.,,unreviewed
,,,,43174,,,,,,Bicellonycha,wickershamorum wickershamorum,,7/4/2024,2024,7,4,,Candace Fallon,,open_freshwater_wetland,1337,,,,,,,Arizona,,,LCNCA - Las Cienagitas,,,31.79526,-110.597607,,0-25,,,,,15-20 individuals observed along the ponds and flying in between. At least one individual (see photo) did not have the characteristic yellow outlines on the elytral margins but was instead completely black.,11_50,,43172,0,survey,2,Cheryl Mollohan,19:48,20:33,0.95,Bicellonycha,wickershamorum wickershamorum,yes,19:31,"Three large ponds surrounded by reeds, cattails, and yerba mensa. Each pond is circled by a double fence to keep out cattle, which were present in the fields all around the ponds.",a:0:{},19:52,20:33,78.1,71,1,,2,&lt;0.5,1.5,"a:3:{i:0;s:0:"""";i:1;s:3:""low"";i:2;s:8:""moderate"";}","Flashing just above shorter reeds and sedges along sides of ponds, and above vegetation between ponds, moving back and forth between them.",One pulse of green light as they slowly cruise around above the vegetation.,One flash observed from vegetation.,unreviewed
,,,,43217,,,,,,Bicellonycha,wickershamorum,,6/26/2024,2024,6,26,"I was setting up mist nets for bats at Sparke's Spring, when I noticed the light of fireflies. ",Diana Rodriguez,,woodland_forest,1610,Richard Joyce,9/5/2024,Phenology and morphology match Bicellonycha wickershamorum.,,,,Arizona,,,Sparke's Spring at Coronado National Memorial,,,31.34848,-110.27273,,0-25,,,,,,11_50,,43210,0,incidental,2,Nicole Gonzalez,19:35,20:30,,Bicellonycha,wickershamorum,yes,19:28,,a:0:{},19:35,20:30,85,83,1,,4,0.5,2,"a:3:{i:0;s:0:"""";i:1;s:3:""low"";i:2;s:8:""moderate"";}",Observed flashes between 0-2 meters ,,,verified
,,,,43282,,,,,,Photinus,knulli,,8/13/2024,2024,8,13,"7:53PM first flash. Flashing concentrated into shadows of trees due to bright moonlight.
Still, many individuals flashing at 9:55Pm when survey concluded.",Mackenzie Moore,,woodland_forest,701.04,Richard Joyce,9/19/2024,,,,,Arizona,,,"Tumacacori National Historical Park, Santa Cruz River",,,31.56783,-111.05102,,100-250,,,,,"6-10mm in length
males flashing from low grass to the highest parts of the canopy.",50+,,43262,0,survey,2,Tony Palmer,19:53,21:55,129,Photinus,knulli,yes,19:08,"Mesquite Bosque, Cottonwood-Willow forest, and Riparian areas surveyed.
Dominant Vegetation: Freemont's Cottonwood, Mesquite, Canyon Hackberry, Seep Willow, Ambrosia sp. ",a:0:{},19:53,21:55,76.1,75,3,,9.5- 12,less than 1,1.5,"a:4:{i:0;s:0:"""";i:1;s:3:""low"";i:2;s:8:""moderate"";i:3;s:4:""high"";}","Males flashing from low grass to the highest parts of the canopy (~24 meters).
Females flashing from grasses and low shrubs.","1.5 second triplets with 6-8 seconds of pause in between triplets.
Wave and true synchrony events observed.","muted single to triple flashes, and some sustained glows for 3-5 seconds.",verified
,,,,43370,,,,,,Photinus,knulli,,9/10/2024,2024,9,10,"Temperatures were cool 67F at start and 61F at end of the survey. Moon was bright and flash period was very brief, 7:00 PM- 8:15PM.",Ashlyn Zilch,,riparian,975.36,Richard Joyce,9/19/2024,Known locality and experienced observers.,,,,Arizona,,,"Tumacacori National Historical Park, Santa Cruz River",,,31.56783,-111.05102,,100-250,,,,,Males and females flashed between 7:00PM and 8:15PM. No flashes when temperature dropped below 63 degrees F.,11_50,,43369,0,survey,2,Tony Palmer,19:00,21:16,259,Photinus,knulli,yes,18:36,"Freemont's Cottonwood, Gooding's Willow, Mesquite, Johnsongrass.",a:0:{},19:00,20:15,65,63,3,,7.5,less than 1,1.5,"a:4:{i:0;s:0:"""";i:1;s:3:""low"";i:2;s:8:""moderate"";i:3;s:4:""high"";}",In shaded areas under trees and bushes. Brief flight of males and then males retreated to the vegetation and continued flashing as temperatures dropped.,"Males flying with the triplet flashes when temperatures were between 65 degrees F and 64 degrees F. When temperatures dropped below 64 degrees F, the males dropped into the vegetation and continued to flash with the triplets until temperatures dropped below 63 degrees F, when the flashing stopped. ",Sporadic glows or blinking from low vegetation. Flashes stopped at 63 degrees F.,verified
,,,,43378,,,,,,Photinus,knulli,,9/11/2024,2024,9,11,The area surveyed was a mosaic of warm and cool air pockets. Temperatures recorded during the survey fluctuated from 80F to 65F and these temperature variations of up to 15 degrees were often 1 meter or less apart. P. knulli tended to be most concentrated in the pockets of air that were above 70F. Little to no activity was recorded in areas where temperatures were in the mid 60's.,Mackenzie Moore,,riparian,975.36,,,,,,,Arizona,,,"Tumacacori National Historical Park, Santa Cruz River",,,31.56783,-111.05102,,100-250,,,,,181 individuals observed during the survey in warm pockets of air in the shade of tall vegetation. Groups would shift with warm air pockets and cool air pockets would cause areas to stop flashing. The areas where cool air was replaced with warmer air would become active again.,50+,,43377,0,survey,2,Tony Palmer,18:45,20:46,259,Photinus,knulli,yes,18:35,"Freemont's Cottonwood, Gooding's Willow, Mesquite, Johnsongrass.",a:0:{},19:00,20:45,76.4,72.4,3,,7.5,less than 1,1.5,"a:4:{i:0;s:0:"""";i:1;s:3:""low"";i:2;s:8:""moderate"";i:3;s:4:""high"";}",In shaded areas under trees and bushes.,Males flying with the triplet flashes,Sporadic glows or blinking from low vegetation.,unreviewed
,,,,43380,,,,,,Photinus,knulli,,9/12/2024,2024,9,12,76 individuals counted on the night,Tony Palmer,,riparian,975.36,,,,,,,Arizona,,,"Tumacacori National Historical Park, Santa Cruz River",,,31.56783,-111.05102,,100-250,,,,,,50+,,43379,0,survey,2,Richard Quade,18:45,21:00,259,Photinus,knulli,yes,18:34,"Freemont's Cottonwood, Gooding's Willow, Mesquite, Johnsongrass.",a:0:{},19:07,8:49,80,71.9,3,,7.5,less than 1,1.5,"a:4:{i:0;s:0:"""";i:1;s:3:""low"";i:2;s:8:""moderate"";i:3;s:4:""high"";}",In shaded areas under trees and bushes,"Males flying with the triplet flashes, some males observed flashing from vegetation did not take flight during the time they were being observed. ",Sporadic glows or blinking from low vegetation.,unreviewed
,,,,43388,,,,,,Bicellonycha,wickershamorum wickershamorum,,6/18/2024,2024,6,18,,Rachel Laura,,riparian,4000,,,,,,,Arizona,,,Patagonia-Sonoita Creek Preserve,,,31.528981,-110.768212,,50-100,,,,,"11mm in length, flashing sporadically. A couple flashing over the creek and a couple adjacent to the creek. ",2_10,,43387,1,survey,3,"Michelle Gradall, Brittany Garza",19:40,21:07,1.6,Bicellonycha,wickershamorum wickershamorum,yes,19:31,"Cottonwood, walnut, hackberry",a:0:{},19:48,20:51,80.8,74.5,1,,&lt;1,&lt;1,1,"a:2:{i:0;s:0:"""";i:1;s:3:""low"";}",Flashing just above the creek or adjacent to it. ,,,unreviewed
,,,,43418,,,,,,Bicellonycha,wickershamorum wickershamorum,,6/23/2024,2024,6,23,,Rachel Laura,,riparian,4000,,,,,,,Arizona,,,Patagonia-Sonoita Creek Preserve,,,31.528981,-110.768212,,50-100,,,,,,11_50,,43414,1,survey,5,"Joe Cicero, Elizabeth Hamilton, Kathy West, Amber Anderson",19:37,21:40,3.5,Bicellonycha,wickershamorum wickershamorum,yes,19:32,,a:0:{},19:37,21:40,71.1,73.7,1,,1,&lt;1,1,"a:3:{i:0;s:0:"""";i:1;s:3:""low"";i:2;s:8:""moderate"";}","Primarily flashing from veg early in the evening, then while flying, then from the ground later in the night.",,,unreviewed
